Source: National Bureau of Statistics of China, "China Statistical Yearbook" (Table 3-6: Proportion of Urban Population at Year-end by Region, 2005-2012).  
Note: 2010 data are census estimates; other years are from annual sample surveys.
Region,2005,2006,2007,2008,2009,2010,2011,2012
National Total,42.99,44.34,45.89,46.99,48.34,49.95,51.27,52.57
Beijing,83.62,84.33,84.50,84.90,85.00,85.96,86.20,86.20
Tianjin,75.11,75.73,76.31,77.23,78.01,79.55,80.50,81.55
Hebei,37.69,38.77,40.25,41.90,43.74,44.50,45.60,46.80
Shanxi,42.11,43.01,44.03,45.11,45.99,48.05,49.68,51.26
Inner Mongolia,47.20,48.64,50.15,51.71,53.40,55.50,56.62,57.74
Liaoning,58.70,58.99,59.20,60.05,60.35,62.10,64.05,65.65
Jilin,52.52,52.97,53.16,53.21,53.32,53.35,53.40,53.70
Heilongjiang,53.10,53.50,53.90,55.40,55.50,55.66,56.50,56.90
Shanghai,89.09,88.70,88.70,88.60,88.60,89.30,89.30,89.30
Jiangsu,50.50,51.90,53.20,54.30,55.60,60.68,61.90,63.00
Zhejiang,56.02,56.50,57.20,57.60,57.90,61.62,62.30,63.20
Anhui,35.50,37.10,38.70,40.50,42.10,43.01,44.80,46.50
Fujian,49.40,50.40,51.40,53.00,55.10,57.10,58.10,59.60
Jiangxi,37.00,38.68,39.80,41.36,43.18,44.06,45.70,47.51
Shandong,45.00,46.10,46.75,47.60,48.32,49.70,50.95,52.43
Henan,30.65,32.47,34.34,36.03,37.70,38.50,40.57,42.43
Hubei,43.20,43.80,44.30,45.20,46.00,49.70,51.83,53.50
Hunan,37.00,38.71,40.45,42.15,43.20,43.30,45.10,46.65
Guangdong,60.68,63.00,63.14,63.37,63.40,66.18,66.50,67.40
Guangxi,33.62,34.64,36.24,38.16,39.20,40.00,41.80,43.53
Hainan,45.20,46.10,47.20,48.00,49.13,49.80,50.50,51.60
Chongqing,45.20,46.70,48.30,49.99,51.59,53.02,55.02,56.98
Sichuan,33.00,34.30,35.60,37.40,38.70,40.18,41.83,43.53
Guizhou,26.87,27.46,28.24,29.11,29.89,33.81,34.96,36.41
Yunnan,29.50,30.50,31.60,33.00,34.00,34.70,36.80,39.31
Tibet,20.65,21.13,21.50,21.90,22.30,22.67,22.71,22.75
Shaanxi,37.23,39.12,40.62,42.10,43.50,45.76,47.30,50.02
Gansu,30.02,31.09,32.25,33.56,34.89,36.12,37.15,38.75
Qinghai,39.25,39.26,40.07,40.86,41.90,44.72,46.22,47.44
Ningxia,42.28,43.00,44.02,44.98,46.10,47.90,49.82,50.67
Xinjiang,37.15,37.94,39.15,39.64,39.85,43.01,43.54,43.98